Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,30627.470703125,30674.279296875,29881.8203125,30223.890625,30223.890625,5006680000
2021-01-05,30204.25,30504.890625,30141.779296875,30391.599609375,30391.599609375,4582620000
2021-01-06,30362.779296875,31022.650390625,30313.0703125,30829.400390625,30829.400390625,6049970000
2021-01-07,30901.1796875,31193.400390625,30897.859375,31041.130859375,31041.130859375,5080870000
2021-01-08,31069.580078125,31140.669921875,30793.26953125,31097.970703125,31097.970703125,4764180000
2021-01-11,31015.369140625,31096.98046875,30832.060546875,31008.689453125,31008.689453125,4450500000
2021-01-12,31015.009765625,31114.560546875,30888.759765625,31068.689453125,31068.689453125,4977210000
2021-01-13,31084.880859375,31153.369140625,30992.05078125,31060.470703125,31060.470703125,4590420000
2021-01-14,31085.669921875,31223.779296875,30982.240234375,30991.51953125,30991.51953125,5180140000
2021-01-15,30926.76953125,30941.98046875,30612.669921875,30814.259765625,30814.259765625,5353060000
2021-01-19,30887.419921875,31086.619140625,30865.029296875,30930.51953125,30930.51953125,4982940000
2021-01-20,31017.5390625,31235.98046875,30997.7890625,31188.380859375,31188.380859375,4551790000
2021-01-21,31198.009765625,31272.220703125,31120.919921875,31176.009765625,31176.009765625,4484460000
2021-01-22,31141.560546875,31141.560546875,30908.470703125,30996.98046875,30996.98046875,5080430000
2021-01-25,30989.849609375,30989.849609375,30564.060546875,30960.0,30960.0,6955860000
2021-01-26,30968.55078125,31121.419921875,30921.7109375,30937.0390625,30937.0390625,6029090000
2021-01-27,30893.779296875,30893.779296875,30206.91015625,30303.169921875,30303.169921875,9878040000
2021-01-28,30377.189453125,30951.41015625,30377.189453125,30603.359375,30603.359375,6937960000
2021-01-29,30553.91015625,30553.91015625,29856.30078125,29982.619140625,29982.619140625,6612570000
2021-02-01,30054.73046875,30335.91015625,30014.970703125,30211.91015625,30211.91015625,5392870000
2021-02-02,30276.880859375,30840.5390625,30276.880859375,30687.48046875,30687.48046875,5495370000
2021-02-03,30689.650390625,30793.41015625,30521.310546875,30723.599609375,30723.599609375,4846900000
2021-02-04,30737.779296875,31065.9609375,30737.779296875,31055.859375,31055.859375,4856670000
2021-02-05,31093.810546875,31252.1796875,31083.220703125,31148.240234375,31148.240234375,4838580000
2021-02-08,31191.19921875,31386.099609375,31191.19921875,31385.759765625,31385.759765625,4635030000
2021-02-09,31359.880859375,31439.470703125,31245.859375,31375.830078125,31375.830078125,4554610000
2021-02-10,31428.01953125,31511.439453125,31221.3203125,31437.80078125,31437.80078125,4815380000
2021-02-11,31466.490234375,31543.8203125,31244.359375,31430.69921875,31430.69921875,4570080000
2021-02-12,31420.80078125,31475.310546875,31347.80078125,31458.400390625,31458.400390625,4119260000
2021-02-16,31472.080078125,31608.630859375,31443.48046875,31522.75,31522.75,5037360000
2021-02-17,31485.609375,31643.69921875,31338.759765625,31613.01953125,31613.01953125,4718280000
2021-02-18,31558.599609375,31558.599609375,31285.3203125,31493.33984375,31493.33984375,4773430000
2021-02-19,31504.130859375,31647.529296875,31469.33984375,31494.3203125,31494.3203125,4823940000
2021-02-22,31381.119140625,31653.48046875,31286.5703125,31521.689453125,31521.689453125,5870190000
2021-02-23,31501.890625,31653.380859375,31158.759765625,31537.349609375,31537.349609375,6280650000
2021-02-24,31499.75,32009.640625,31421.2890625,31961.859375,31961.859375,5942350000
2021-02-25,31955.939453125,31984.76953125,31293.3203125,31402.009765625,31402.009765625,6513060000
2021-02-26,31401.2890625,31450.890625,30911.369140625,30932.369140625,30932.369140625,6512950000
2021-03-01,31065.900390625,31668.33984375,31065.900390625,31535.509765625,31535.509765625,5071540000
2021-03-02,31535.369140625,31623.26953125,31377.16015625,31391.51953125,31391.51953125,5493690000
2021-03-03,31352.9609375,31563.310546875,31260.140625,31270.08984375,31270.08984375,6150790000
2021-03-04,31289.009765625,31461.970703125,30547.529296875,30924.140625,30924.140625,7142240000
2021-03-05,31029.1796875,31580.330078125,30766.810546875,31496.30078125,31496.30078125,6842570000
2021-03-08,31512.150390625,32148.0390625,31512.150390625,31802.439453125,31802.439453125,5852240000
2021-03-09,31892.349609375,32150.3203125,31822.640625,31832.740234375,31832.740234375,5496340000
2021-03-10,31906.9609375,32389.5,31906.9609375,32297.01953125,32297.01953125,5827250000
2021-03-11,32354.5,32661.58984375,32345.69921875,32485.58984375,32485.58984375,5300010000
2021-03-12,32462.400390625,32793.3203125,32462.400390625,32778.640625,32778.640625,4469240000
2021-03-15,32798.83984375,32973.3984375,32629.75,32953.4609375,32953.4609375,4882190000
2021-03-16,32966.75,32966.75,32778.23046875,32825.94921875,32825.94921875,4604870000
2021-03-17,32825.51953125,33047.578125,32782.1796875,33015.37109375,33015.37109375,4541620000
2021-03-18,32928.16015625,33227.78125,32831.25,32862.30078125,32862.30078125,4043170000
2021-03-19,32858.359375,32858.359375,32505.0703125,32627.970703125,32627.970703125,7725050000
2021-03-22,32601.8203125,32810.3515625,32512.529296875,32731.19921875,32731.19921875,4311380000
2021-03-23,32691.5,32753.76953125,32356.279296875,32423.150390625,32423.150390625,4645340000
2021-03-24,32470.880859375,32787.98828125,32418.150390625,32420.060546875,32420.060546875,4766990000
2021-03-25,32346.810546875,32672.689453125,32071.41015625,32619.48046875,32619.48046875,4940800000
2021-03-26,32681.0703125,33098.828125,32681.0703125,33072.87890625,33072.87890625,5467850000
2021-03-29,33087.55078125,33259.0,32905.12890625,33171.37109375,33171.37109375,4619840000
2021-03-30,33127.87890625,33170.9296875,32988.921875,33066.9609375,33066.9609375,4103570000
2021-03-31,33116.0390625,33173.76953125,32980.5703125,32981.55078125,32981.55078125,4564980000
